USERNAME,PASSWORD,RECIPIENTID,CLAIMNUMBER
CIP_PERF1661,pmcng928,551817,030399882
CIP_PERF1661,pmcng928,551817,023328262
CIP_PERF1661,pmcng928,551817,023509931
CIP_PERF1661,pmcng928,551817,030303070
CIP_PERF1661,pmcng928,551817,029413250
CIP_PERF1661,pmcng928,551817,030094935
CIP_PERF1661,pmcng928,551817,030895038
CIP_PERF1661,pmcng928,551817,029127164
CIP_PERF1661,pmcng928,551817,027820502
CIP_PERF1661,pmcng928,551817,030937624
CIP_PERF1661,pmcng928,551817,030241417
CIP_PERF1661,pmcng928,551817,029831875
CIP_PERF1661,pmcng928,551817,029060616
CIP_PERF1661,pmcng928,551817,029260293
CIP_PERF1661,pmcng928,551817,030977306
CIP_PERF1661,pmcng928,551817,030887236
CIP_PERF1661,pmcng928,551817,029278077
CIP_PERF1661,pmcng928,551817,029904261
CIP_PERF1661,pmcng928,551817,025599338
CIP_PERF1661,pmcng928,551817,030928368
CIP_PERF1661,pmcng928,551817,027150916
CIP_PERF1661,pmcng928,551817,028802363
CIP_PERF1661,pmcng928,551817,029174087
CIP_PERF1661,pmcng928,551817,030765475
CIP_PERF1661,pmcng928,551817,030956441
CIP_PERF1661,pmcng928,551817,030956921
CIP_PERF1661,pmcng928,551817,029081565
CIP_PERF1661,pmcng928,551817,029174340
CIP_PERF1661,pmcng928,551817,029914695
CIP_PERF1661,pmcng928,551817,030205555
CIP_PERF1661,pmcng928,551817,026917190
CIP_PERF1661,pmcng928,551817,028132715
CIP_PERF1661,pmcng928,551817,024924959
CIP_PERF1661,pmcng928,551817,030664822
CIP_PERF1661,pmcng928,551817,028683738
CIP_PERF1661,pmcng928,551817,029712898
CIP_PERF1661,pmcng928,551817,029704844
CIP_PERF1661,pmcng928,551817,030720717
CIP_PERF1661,pmcng928,551817,024913463
CIP_PERF1661,pmcng928,551817,024864253
CIP_PERF1661,pmcng928,551817,030754325
CIP_PERF1661,pmcng928,551817,030414843
CIP_PERF1661,pmcng928,551817,030737539
