354-426-6279,BPG,CNGDATABPG,CA,H3226867299240,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6310,BQL,CNGDATABQL,CA,H3226867299640,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6251,BOE,CNGDATABOE,CA,H3226867300240,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6301,BQC,CNGDATABQC,CA,H3226867300840,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6291,BPS,CNGDATABPS,CA,H3226867300940,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6280,BPH,CNGDATABPH,CA,H3226867301040,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6311,BQM,CNGDATABQM,CA,H3226867301140,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6292,BPT,CNGDATABPT,CA,H3226867302040,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6302,BQD,CNGDATABQD,CA,H3226867302440,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6312,BQN,CNGDATABQN,CA,H3226867302540,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6281,BPI,CNGDATABPI,CA,H3226867302640,05/20/2012,05/20/2013,H3,CA,TP130
354-426-6282,BPJ,CNGDATABPJ,CA,H3226867302940,05/20/2012,05/20/2013,H3,CA,TP130
354-426-7538,BII,CNGDATABII,CA,H3226892153940,04/25/2012,04/25/2013,H3,CA,TP130
354-426-6172,BLD,CNGDATABLD,CA,H3226892154140,04/25/2012,04/25/2013,H3,CA,TP130
354-426-6182,BLN,CNGDATABLN,CA,H3226892154240,04/25/2012,04/25/2013,H3,CA,TP130
354-426-6192,BLX,CNGDATABLX,CA,H3226892154340,04/25/2012,04/25/2013,H3,CA,TP130
354-426-6202,BMH,CNGDATABMH,CA,H3226892154540,04/25/2012,04/25/2013,H3,CA,TP130
354-426-6212,BMR,CNGDATABMR,CA,H3226892154640,04/25/2012,04/25/2013,H3,CA,TP130
