AO226167303040,05/20/2012,05/20/2013,354-426-6713,CNGDATABYF,BYF,CA,AO,CA,TP01
AO226167303140,05/20/2012,05/20/2013,354-426-6714,CNGDATABYG,BYG,CA,AO,CA,TP01
AO226167303240,05/20/2012,05/20/2013,354-426-6715,CNGDATABYH,BYH,CA,AO,CA,TP01
AO226167303340,05/20/2012,05/20/2013,354-426-6735,CNGDATABZB,BZB,CA,AO,CA,TP01
AO226167303540,05/20/2012,05/20/2013,354-426-6725,CNGDATABYR,BYR,CA,AO,CA,TP01
AO226167304940,05/20/2012,05/20/2013,354-426-6726,CNGDATABYS,BYS,CA,AO,CA,TP01
AO226167305140,05/20/2012,05/20/2013,354-426-6716,CNGDATABYI,BYI,CA,AO,CA,TP01
AO226167305240,05/20/2012,05/20/2013,354-426-6736,CNGDATABZC,BZC,CA,AO,CA,TP01
AO226167306640,05/20/2012,05/20/2013,354-426-6727,CNGDATABYT,BYT,CA,AO,CA,TP01
AO226167306740,05/20/2012,05/20/2013,354-426-6737,CNGDATABZD,BZD,CA,AO,CA,TP01
AO226167306940,05/20/2012,05/20/2013,354-426-6717,CNGDATABYJ,BYJ,CA,AO,CA,TP01
AO226167308340,05/20/2012,05/20/2013,354-426-6728,CNGDATABYU,BYU,CA,AO,CA,TP01
AO226167308440,05/20/2012,05/20/2013,354-426-6738,CNGDATABZE,BZE,CA,AO,CA,TP01
AO226167308540,05/20/2012,05/20/2013,354-426-6718,CNGDATABYK,BYK,CA,AO,CA,TP01
AO226167310040,05/20/2012,05/20/2013,354-426-6739,CNGDATABZF,BZF,CA,AO,CA,TP01
AO226167310240,05/20/2012,05/20/2013,354-426-6719,CNGDATABYL,BYL,CA,AO,CA,TP01
AO226167311440,05/20/2012,05/20/2013,354-426-6730,CNGDATABYW,BYW,CA,AO,CA,TP01
AO226167311740,05/20/2012,05/20/2013,354-426-6740,CNGDATABZG,BZG,CA,AO,CA,TP01
AO226167311840,05/20/2012,05/20/2013,354-426-6720,CNGDATABYM,BYM,CA,AO,CA,TP01
AO226167313140,05/20/2012,05/20/2013,354-426-6731,CNGDATABYX,BYX,CA,AO,CA,TP01
AO226167313540,05/20/2012,05/20/2013,354-426-6721,CNGDATABYN,BYN,CA,AO,CA,TP01
AO226167314840,05/20/2012,05/20/2013,354-426-6732,CNGDATABYY,BYY,CA,AO,CA,TP01
AO226167315240,05/20/2012,05/20/2013,354-426-6722,CNGDATABYO,BYO,CA,AO,CA,TP01
AO226167316440,05/20/2012,05/20/2013,354-426-6733,CNGDATABYZ,BYZ,CA,AO,CA,TP01
AO226167316840,05/20/2012,05/20/2013,354-426-6723,CNGDATABYP,BYP,CA,AO,CA,TP01
AO226167318140,05/20/2012,05/20/2013,354-426-6734,CNGDATABZA,BZA,CA,AO,CA,TP01
AO226167318440,05/20/2012,05/20/2013,354-426-6724,CNGDATABYQ,BYQ,CA,AO,CA,TP01
AO525150719340,01/27/2012,01/26/2013,354-426-7083,CNGDATACML,CML,FL,AO,CA,TP01
